table_id,node,actual_disk_read_throughput,actual_disk_write_throughput,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:36:40 +0000 UTC,65.8 KiB/sec,40.4 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:40 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:34:20 +0000 UTC,108 KiB/sec,29.3 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:34:20 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:38:40 +0000 UTC,258 KiB/sec,35.8 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:38:40 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:35:40 +0000 UTC,257 KiB/sec,37.0 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:40 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:34:40 +0000 UTC,24.3 KiB/sec,37.2 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:34:40 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-d56z,2023-02-22 19:35:00 +0000 UTC,23.7 KiB/sec,40.8 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:35:00 +0000 UTC
network_stats,gke-pixie-test-default-pool-a9846490-zh5n,2023-02-22 19:36:10 +0000 UTC,213 KiB/sec,40.2 KiB/sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,0.000000 /sec,2023-02-22 19:36:10 +0000 UTC
table_id,node,,,,,,,,
Nodes,gke-pixie-test-default-pool-a9846490-d56z,,,,,,,,
Nodes,gke-pixie-test-default-pool-a9846490-zh5n,,,,,,,,
table_id,node,pod,pod_create_time,pod_status,,,,,
Pods,gke-pixie-test-default-pool-a9846490-d56z,pl/vizier-pem-vdlj8,2023-02-22 03:45:23 +0000 UTC,"{""phase"":""Running"",""message"":"""",""reason"":"""",""ready"":true}",,,,,
Pods,gke-pixie-test-default-pool-a9846490-zh5n,olm/olm-operator-7b4494bd75-77r42,2023-02-19 18:44:19 +0000 UTC,"{""phase"":""Running"",""message"":"""",""reason"":"""",""ready"":true}",,,,,
